date_time,branch,city,customer_type,gender,product_line,payment,branch_location,unit_price,quantity,tax_5_percent,total,cogs,gross_margin_percentage,gross_income,rating
2019-01-05 13:08:00,A,Yangon,Member,Female,Health and beauty,Ewallet,A - Yangon,74.69,7,26.1415,548.9715,522.83,4.761904762,26.1415,9.1
2019-03-08 10:29:00,C,Naypyitaw,Normal,Female,Electronic accessories,Cash,C - Naypyitaw,15.28,5,3.82,80.22,76.4,4.761904762,3.82,9.6
2019-03-03 13:23:00,A,Yangon,Normal,Male,Home and lifestyle,Credit card,A - Yangon,46.33,7,16.2155,340.5255,324.31,4.761904762,16.2155,7.4
2019-01-27 20:33:00,A,Yangon,Member,Male,Health and beauty,Ewallet,A - Yangon,58.22,8,23.288,489.048,465.76,4.761904762,23.288,8.4
2019-02-08 10:37:00,A,Yangon,Normal,Male,Sports and travel,Ewallet,A - Yangon,86.31,7,30.2085,634.3785,604.17,4.761904762,30.2085,5.3
2019-03-25 18:30:00,C,Naypyitaw,Normal,Male,Electronic accessories,Ewallet,C - Naypyitaw,85.39,7,29.8865,627.6165,597.73,4.761904762,29.8865,4.1
2019-02-25 14:36:00,A,Yangon,Member,Female,Electronic accessories,Ewallet,A - Yangon,68.84,6,20.652,433.692,413.04,4.761904762,20.652,5.8
2019-02-24 11:38:00,C,Naypyitaw,Normal,Female,Home and lifestyle,Ewallet,C - Naypyitaw,73.56,10,36.78,772.38,735.6,4.761904762,36.78,8.0
2019-01-10 17:15:00,A,Yangon,Member,Female,Health and beauty,Credit card,A - Yangon,36.26,2,3.626,76.146,72.52,4.761904762,3.626,7.2
2019-02-20 13:27:00,B,Mandalay,Member,Female,Food and beverages,Credit card,B - Mandalay,54.84,3,8.226,172.746,164.52,4.761904762,8.226,5.9
2019-02-06 18:07:00,B,Mandalay,Member,Female,Fashion accessories,Ewallet,B - Mandalay,14.48,4,2.896,60.816,57.92,4.761904762,2.896,4.5
2019-03-09 17:03:00,B,Mandalay,Member,Male,Electronic accessories,Cash,B - Mandalay,25.51,4,5.102,107.142,102.04,4.761904762,5.102,6.8
2019-02-12 10:25:00,A,Yangon,Normal,Female,Electronic accessories,Ewallet,A - Yangon,46.95,5,11.7375,246.4875,234.75,4.761904762,11.7375,7.1
2019-02-07 16:48:00,A,Yangon,Normal,Male,Food and beverages,Ewallet,A - Yangon,43.19,10,21.595,453.495,431.9,4.761904762,21.595,8.2
2019-03-29 19:21:00,A,Yangon,Normal,Female,Health and beauty,Cash,A - Yangon,71.38,10,35.69,749.49,713.8,4.761904762,35.69,5.7
2019-01-15 16:19:00,B,Mandalay,Member,Female,Sports and travel,Cash,B - Mandalay,93.72,6,28.116,590.436,562.32,4.761904762,28.116,4.5
2019-03-11 11:03:00,A,Yangon,Member,Female,Health and beauty,Credit card,A - Yangon,68.93,7,24.1255,506.6355,482.51,4.761904762,24.1255,4.6
2019-01-01 10:39:00,A,Yangon,Normal,Male,Sports and travel,Credit card,A - Yangon,72.61,6,21.783,457.443,435.66,4.761904762,21.783,6.9
2019-01-21 18:00:00,A,Yangon,Normal,Male,Food and beverages,Credit card,A - Yangon,54.67,3,8.2005,172.2105,164.01,4.761904762,8.2005,8.6
